No.,country,people,area(kilometer),density (per square kilometer),gdp,hdi
2,Singapore,5612300,720,7796,323902,0.932
10,Taiwan,23562318,36197,651,613295,0.907
13,Korea,48754657,99600,490,1538030,0.903
23,India,1189172906,3287590,362,2611012,0.64
27,Japan,127270000,377835,337,4872135,0.909
